Населенный пункт,Лицевой счет,ФИО,Тип учета,Тип здания,Улица,Дом,Состояние подключения,Объект АСКУГ,Оснащенность СТМ,Дата последней проверки,Модель счетчика газа,Заводской номер,Очередная поверка счетчика,Предыдущие учтёные показания,Текущие (последние) учтёные показания,"Площадь жилая, м2",Количество проживающих,Газовый котел,Газовая колонка,Газовая плита
поселок И,141,Фамилия Имя Отчество,Счетчик,частный,ул Свердлова,д.10,Подключен,нет,нет,2019-07-01,"ВК-G4T  Elster, Германия",1141,2029-06-27,42 823,42 823,"34,7",1,"АОГВ-11,6-3 Ростов;",Отсутствует,Гефест4;
поселок И,142,Фамилия Имя Отчество,Счетчик,частный,ул Свердлова,д.119,Подключен,нет,нет,2019-08-26,MKM G6  Premagas s.r.o. Словакия,1142,2029-08-22,1 020,1 020,"119,1",1,"АОГВ-23,2 Арбат;",Oasis ISD12-A1 ;,Гефест4;
поселок И,143,Фамилия Имя Отчество,Счетчик,частный,ул Свердлова,д.14,Подключен,нет,нет,2022-01-27,BK G4T  Premagas s.r.o. Словакия,1143,2031-07-06,3 000,3 000,"90,9",1,Navien atmo 13А;,Отсутствует,ПГ4;
поселок И,144,Фамилия Имя Отчество,Счетчик,частный,ул Свердлова,д.74,Подключен,нет,нет,2012-09-18,"СГМН-1 G6 г. Минск, МПИ 8лет",1144,2027-08-19,4 436,4 436,0,5,КС-Г-16 УАБ;,Отсутствует,Терек4;
поселок И,145,Фамилия Имя Отчество,Счетчик,частный,ул Северная,д.24,Подключен,нет,нет,2021-11-16,"СГМН-1 G6 г. Минск, МПИ 8лет",1145,2029-11-09,16 103,16 103,"78,4",3,КСТГ-10 Арбат;,Нева-Транзит ВПГ-10Е;,Гефест4;
поселок И,146,Фамилия Имя Отчество,Счетчик,частный,ул Симонова,д.12А,Подключен,нет,нет,2018-01-30,"ВК-G4T  Elster, Германия",1146,2027-03-02,12 000,12 000,"69,8",1,Baxi Main Four 24F;,ВПГ автоматический;,ПГ4;
поселок И,147,Фамилия Имя Отчество,Счетчик,частный,ул Симонова,д.44,Подключен,нет,нет,2018-10-15,MKM G4  Premagas s.r.o. Словакия,1147,2028-10-11,99 810,99 810,"176,9",1,"АОГВ-23,2 Арбат;",ВПГ автоматический;,ПВ4 Gefest;
поселок И,148,Фамилия Имя Отчество,Счетчик,частный,ул Симонова,д.48,Подключен,нет,нет,2018-06-19,"ВК-G4T  Elster, Германия",1148,2023-01-01,36 955,36 955,"95,1",2,Navien Ace 16к;,ВПГ автоматический;,ПВ4 Gefest;
поселок И,149,Фамилия Имя Отчество,Счетчик,частный,ул Сискова,д.20,Подключен,нет,нет,2021-04-15,"BK-G6 ООО ""Метэко-Премагаз"", г.Москва",1149,2027-10-03,14 010,14 010,"58,8",3,"АОГВ-23,2 Арбат;",Отсутствует,Брест-04; ПГ4 Ardo;
поселок И,150,Фамилия Имя Отчество,Счетчик,частный,ул Сискова,д.21,Подключен,нет,нет,2016-04-05,"BK-G6T Elster, Германия",1150,2025-06-30,4 713,4 713,"318,1",1,Baxi Main 240;,ВПГ автоматический;,ПВ4 Gorenie;
поселок И,151,Фамилия Имя Отчество,Счетчик,частный,ул Сискова,д.25,Подключен,нет,нет,2019-04-29,"ВК-G4  Elster, Германия",1151,2029-01-11,6 340,6 340,"25,3",5,КОВ-7 СТ;,Отсутствует,ПГ4 Flama;
поселок И,152,Фамилия Имя Отчество,Счетчик,частный,ул Сискова,д.33,Подключен,нет,нет,2019-05-22,"СГМН-1 G6 г. Минск, МПИ 8лет",1152,2027-05-17,127,127,"66,3",2,"АОГВ 11,6;",ВПГ автоматический;,ПГ2; ПГ2;
поселок И,153,Фамилия Имя Отчество,Счетчик,частный,ул Сискова,д.35,Подключен,нет,нет,2019-10-07,"СГМН-1 G6 г. Минск, МПИ 8лет",1153,2027-10-03,46 875,46 875,"63,3",3,"АОГВ-11,6-3 Ростов;",Отсутствует,ПГ4 Ardo;
поселок И,154,Фамилия Имя Отчество,Счетчик,частный,ул Сискова,д.48,Подключен,нет,нет,2022-04-20,"ВК-G4T  Эльстер Газэлектроника, г.Арзамас",1154,2031-04-26,7 311,7 311,115,5,"АОГВ-23,5;",Отсутствует,Омичка4;
поселок И,155,Фамилия Имя Отчество,Счетчик,частный,ул Сискова,д.59,Подключен,нет,нет,2021-08-30,"ВК-G4T  Elster, Германия",1155,2031-08-30,15 072,15 072,"52,9",3,Navien Ace 16 AN;,Отсутствует,ПВ4;
поселок И,156,Фамилия Имя Отчество,Счетчик,частный,ул Сискова,д.99,Подключен,нет,нет,2019-11-06,"СГМН-1 G6 г. Минск, МПИ 8лет",1156,2027-03-12,19 325,19 325,"51,5",7,КС-Г-10;,Oasis ISD12-A1 ;,ПГ4 Mabe;
поселок И,157,Фамилия Имя Отчество,Счетчик,частный,ул Советская,д.113,Подключен,нет,нет,2020-08-17,"СГМН-1 G6 г. Минск, МПИ 8лет",1157,2028-08-13,8 060,8 060,"53,6",1,Кебер КС-Г-8К;,Отсутствует,ПГ2; ПГ4;
поселок И,158,Фамилия Имя Отчество,Счетчик,частный,ул Советская,д.198,Подключен,нет,нет,2018-10-19,"BK-G6 ООО ""Метэко-Премагаз"", г.Москва",1158,2028-10-12,36 348,36 348,48,5,"АОГВ-11,6-3 Ростов;",ВПГ автоматический;,ПГ4;
поселок И,159,Фамилия Имя Отчество,Счетчик,частный,ул Советская,д.44,Подключен,нет,нет,2018-10-15,"BK-G6T Elster, Германия",1159,2028-10-11,8 019,8 019,"49,8",1,"МИМАКС КСГ-12,5;",Астра ВПГ-18;,ПГ4; ПГ4;
поселок И,160,Фамилия Имя Отчество,Счетчик,частный,ул Советская,д.66,Подключен,нет,нет,2018-07-23,"СГМН-1 G6 г. Минск, МПИ 8лет",1160,2026-07-19,67 357,67 357,"39,3",5,"КСГ-10  ""ЛЕМАКС"" Арбат;",Отсутствует,ПГ4;
поселок И,161,Фамилия Имя Отчество,Счетчик,частный,ул Советская,д.77,Подключен,нет,нет,2022-04-18,"BK-G6  Elster, Германия",1161,2032-02-14,323,323,"119,4",3,Житомир-3 КС-Г-015 СН АТЕМ;,Vektor;,Кубань4;
